isolates,Time,Parasitemia,TreatTime,Resistance
EEF167,2,0.4,10,0
EEF168,2,0.6,8,0
EEF169,2,0.5,10,0
EEF170,2,0.6,10,0
EEF171,2,0.6,14,0
EEF172,2,0.6,10,0
EEF173,2,0.6,12,0
EEF174,2,0.6,10,0
EEF175,2,0.6,10,0
EEF176,2,0.6,10,0
EEF177,2,0.5,8,0
EEF178,2,0.6,10,0
EEF179,2,0.6,10,0
EEF180,2,0.6,10,0
EEF181,2,0.6,10,0
EEF182,2,0.4,10,0
EEF183,2,0.5,10,0
EEF184,2,0.7,12,0
EEF185,2,0.5,10,0
EEF186,2,0.6,10,0
EEF187,2,0.6,10,0
EEF188,2,0.6,10,0
EEF189,2,0.6,10,0
EEF190,2,0.6,12,0
EEF191,2,0.6,10,0
EEF192,2,0.4,10,1
EEF193,2,0.7,10,0
EEF194,2,0.6,10,0
EEF195,2,0.7,10,0
EEF196,2,0.5,10,0
EEF197,2,0.5,10,0
EEF198,2,0.6,10,0
EEF199,2,0.4,10,0
EEF200,2,0.8,8,0
EEF201,2,0.6,10,0
EEF202,2,0.4,10,0
EEF203,2,0.7,10,0
EEF204,2,0.5,10,0
EEF205,2,0.8,12,0
EEF206,2,0.7,10,0
EEF207,2,0.5,10,0
EEF208,2,0.6,10,0
EEF209,2,1,10,1
EEF210,2,0.5,12,0
EEF211,2,0.9,8,0
EEF212,2,0.7,8,0
EEF213,2,0.5,10,0
EEF214,2,0.6,10,0
EEF215,2,0.6,10,0
EEF216,2,0.6,10,0
EEF217,2,0.6,10,0
EEF218,2,0.6,10,0
EEF167,4,1.2,10,0
EEF168,4,1.7,8,0
EEF169,4,1.3,10,0
EEF170,4,1.2,10,0
EEF171,4,1.2,14,0
EEF172,4,1.2,10,0
EEF173,4,1.1,12,0
EEF174,4,1.2,10,0
EEF175,4,1.6,10,0
EEF176,4,1.2,10,0
EEF177,4,1.8,8,0
EEF178,4,1.5,10,0
EEF179,4,1.4,10,0
EEF180,4,1.7,10,0
EEF181,4,1.6,10,0
EEF182,4,1.3,10,0
EEF183,4,1.4,10,0
EEF184,4,1.3,12,0
EEF185,4,1.3,10,0
EEF186,4,1.3,10,0
EEF187,4,1.3,10,0
EEF188,4,1.3,10,0
EEF189,4,1.2,10,0
EEF190,4,1.2,12,0
EEF191,4,1.2,10,0
EEF192,4,1.5,10,1
EEF193,4,1.3,10,0
EEF194,4,1.3,10,0
EEF195,4,1.3,10,0
EEF196,4,1.3,10,0
EEF197,4,1.3,10,0
EEF198,4,1.4,10,0
EEF199,4,1.2,10,0
EEF200,4,2.6,8,0
EEF201,4,1.3,10,0
EEF202,4,1.2,10,0
EEF203,4,1.2,10,0
EEF204,4,1.2,10,0
EEF205,4,1.2,12,0
